@relation R_data_frame

@attribute new.names {1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1054_mc2,1061_ar4,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1071_mw1,1073_jEdit_4.0_4.2,1075_datatrieve,1100_PopularKids,1121_badges2,1167_pc1_req,11_balance-scale,12_mfeat-factors,13_breast-cancer,1442_MegaWatt1,1443_PizzaCutter1,1444_PizzaCutter3,1446_CostaMadre1,1447_CastMetal1,1451_PieChart1,1452_PieChart2,1453_PieChart3,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1461_bank-marketing,1462_banknote-authentication,1463_blogger,1464_blood-transfusion-service-center,1465_breast-tissue,1466_cardiotocography,1467_climate-model-simulation-crashes,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1490_planning-relax,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1493_one-hundred-plants-texture,1494_qsar-biodeg,1495_qualitative-bankruptcy,1498_sa-heart,1499_seeds,14_mfeat-fourier,1500_seismic-bumps,1501_semeion,1504_steel-plates-fault,1506_thoracic-surgery,1508_user-knowledge,1510_wdbc,1511_wholesale-customers,1512_heart-long-beach,1514_micro-mass,1519_robot-failures-lp4,1520_robot-failures-lp5,1523_vertebra-column,1526_wall-robot-navigation-v3,1527_volcanoes-a1,1528_volcanoes-a2,1529_volcanoes-a3,1530_volcanoes-a4,1531_volcanoes-b1,1533_volcanoes-b3,1535_volcanoes-b5,1536_volcanoes-b6,1539_volcanoes-d2,1540_volcanoes-d3,1547_autoUniv-au1-1000,1548_autoUniv-au4-2500,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1556_acute-inflammations,1558_bank-marketing,1560_cardiotocography-v2,1565_heart-h-v3,1568_nursery-v3,1570_wilt,15_breast-w,1600_SPECTF,164_molecular-biology-promoters,164_molecular-biology_promoters,173_solar-flare,187_wine,18_mfeat-morphological,210_cloud,21_car,23_cmc,24_mushroom,25_colic,28_optdigits,292_Australian,299_libras_move,29_credit-a,307_vowel,30_page-blocks,310_mammography,311_oil_spill,31_credit-g,329_hayes-roth,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,338_grub-damage,35_dermatology,36_segment,377_synthetic_control,37_diabetes,38_sick,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40733_yeast_v7,40734_satellite_image_v2,40735_ozone_level_v2,40736_libras_move_v2,40_sonar,43_haberman,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,450_analcatdata_lawsuit,451_irish,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,464_prnn_synth,466_schizo,469_analcatdata_dmft,470_profb,475_analcatdata_germangss,481_biomed,48_tae,49_heart-c,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,566_meta,56_vote,59_ionosphere,61_iris,679_rmftsa_sleepdata,685_visualizing_livestock,694_diggle_table_a2,8_liver-disorders}
@attribute dcomp.f4 numeric
@attribute statistical.abs_cor numeric
@attribute dcomp.f3 numeric
@attribute inftheo.equivalent_attributes numeric
@attribute inftheo.normalized_attribute_entropy numeric
@attribute dcomp.f1 numeric
@attribute statistical.cancor_1 numeric
@attribute dcomp.f1v numeric
@attribute landmarking.nn_1 numeric
@attribute dcomp.f2 numeric
@attribute inftheo.mutual_information numeric
@attribute statistical.kurtosis_prep numeric
@attribute cnet.closeness numeric
@attribute simple.symbols_sd numeric
@attribute dcomp.n1 numeric
@attribute Class {Defaults,Tuning}

@data
1048_jEdit_4.2_4.3,0.079,0.29935,0.049,34.808049,0.235941,0.156,0.340004,0.566,0.688347,0.004,0.019753,29.002704,0.000015,0,0.542,Tuning
1049_pc4,0.349,0.3649,0.123,25.3587,0.1857,0.592,0.568092,5.899,0.874486,0,0.014632,46.50384,0.000003,0,0.197,Defaults
1050_pc3,0.137,0.419897,0.065,34.941598,0.15346,0.505,0.444716,0.417,0.873321,0,0.009452,124.244943,0.000004,0,0.193,Tuning
1054_mc2,0.988,0.507705,0.161,16.205318,0.2809,0.295,0.635978,6.46,0.695652,0.000001,0.03882,11.197692,0.000095,0,0.509,Defaults
1061_ar4,0.981,0.542723,0.439,6.887068,0.220908,0.974,0.716624,7.332,0.766355,0,0.069946,14.16589,0.000346,0,0.336,Tuning
1063_kc2,0.151,0.742975,0.042,12.265086,0.097043,0.85,0.598582,6.758,0.808429,0,0.041356,32.985683,0.000015,0,0.289,Tuning
1064_ar6,0.99,0.50794,0.218,14.503265,0.282081,0.53,0.693683,20.095,0.841584,0,0.028968,5.716994,0.00048,0,0.267,Defaults
1065_kc3,0.644,0.564353,0.286,10.062047,0.242853,0.708,0.537445,8.929,0.884279,0.000013,0.030952,14.705653,0.000043,0,0.19,Defaults
1066_kc1-binary,1,0.421319,0.359,12.19701,0.296136,0.917,0.910263,11.311,0.717241,0,0.055605,10.788349,0.000098,0,0.421,Defaults
1067_kc1,0.042,0.707575,0.009,10.397722,0.195199,0.533,0.467723,3.934,0.84495,0.001,0.04141,34.634973,0.000001,0,0.366,Tuning
1068_pc1,0.237,0.667721,0.053,18.475103,0.103825,0.248,0.386223,5.838,0.920649,0.000004,0.013649,69.03357,0.00001,0,0.138,Tuning
1071_mw1,0.851,0.480686,0.362,9.985627,0.310723,0.658,0.510496,7.521,0.873449,0.000003,0.027158,11.087073,0.000066,0,0.181,Defaults
1073_jEdit_4.0_4.2,0.066,0.306971,0.018,17.740802,0.231361,0.298,0.52327,14.17,0.664234,0.051,0.039057,33.820364,0.000026,0,0.504,Defaults
1075_datatrieve,0.9,0.618744,0.208,8.362505,0.399484,0.733,0.421726,8.533,0.892308,0.125,0.034667,5.277147,0.000481,0,0.177,Tuning
1100_PopularKids,0.013,0.248379,0.013,48.948155,0.581071,0.084,0.328771,0.315,0.560669,1.917,0.02075,6.239706,0.000007,2.949576,0.773,Defaults
1121_badges2,0.973,0.238791,0.973,7.784264,0.4973,0.061,1,1.547,1,0.07,0.076856,6.470265,0.000031,0,0.014,Defaults
1167_pc1_req,0.063,0.291523,0.024,59.999957,0.233067,0.163,0.322516,0.242,0.634375,0,0.010621,31.438188,0.000024,0.707107,0.675,Tuning
13_breast-cancer,0.007,0.286746,0.003,25.921312,0.797878,0.021,0.468648,0.849,0.678322,0.667,0.023474,21.165878,0.000016,2.983287,0.437,Defaults
1442_MegaWatt1,1,0.458417,0.237,11.294025,0.3621,0.578,0.521175,2.621,0.814229,0.000002,0.030069,8.381491,0.000116,0,0.249,Defaults
1443_PizzaCutter1,0.852,0.495604,0.389,15.429559,0.186942,0.438,0.496889,3.404,0.907716,0,0.017856,19.602723,0.000025,0,0.151,Tuning
1444_PizzaCutter3,0.46,0.396921,0.236,39.350222,0.177525,0.499,0.466118,1.965,0.853308,0,0.009414,96.625446,0.000007,0,0.234,Tuning
1446_CostaMadre1,0.973,0.519389,0.267,21.221512,0.223714,0.344,0.514031,1.59,0.780405,0,0.018062,22.359202,0.000073,0,0.324,Defaults
1447_CastMetal1,0.982,0.537719,0.242,22.13949,0.229491,0.232,0.496736,1.542,0.767584,0.000002,0.017318,19.027262,0.00006,0,0.321,Defaults
1451_PieChart1,0.82,0.477759,0.372,16.670305,0.184875,0.451,0.483184,2.873,0.896454,0,0.017662,33.609222,0.00002,0,0.157,Defaults
