@relation R_data_frame

@attribute new.names {1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1054_mc2,1061_ar4,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1071_mw1,1073_jEdit_4.0_4.2,1075_datatrieve,1100_PopularKids,1121_badges2,1167_pc1_req,11_balance-scale,12_mfeat-factors,13_breast-cancer,1442_MegaWatt1,1443_PizzaCutter1,1444_PizzaCutter3,1446_CostaMadre1,1447_CastMetal1,1451_PieChart1,1452_PieChart2,1453_PieChart3,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1461_bank-marketing,1462_banknote-authentication,1463_blogger,1464_blood-transfusion-service-center,1465_breast-tissue,1466_cardiotocography,1467_climate-model-simulation-crashes,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1490_planning-relax,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1493_one-hundred-plants-texture,1494_qsar-biodeg,1495_qualitative-bankruptcy,1498_sa-heart,1499_seeds,14_mfeat-fourier,1500_seismic-bumps,1501_semeion,1504_steel-plates-fault,1506_thoracic-surgery,1508_user-knowledge,1510_wdbc,1511_wholesale-customers,1512_heart-long-beach,1514_micro-mass,1519_robot-failures-lp4,1520_robot-failures-lp5,1523_vertebra-column,1526_wall-robot-navigation-v3,1527_volcanoes-a1,1528_volcanoes-a2,1529_volcanoes-a3,1530_volcanoes-a4,1531_volcanoes-b1,1533_volcanoes-b3,1535_volcanoes-b5,1536_volcanoes-b6,1539_volcanoes-d2,1540_volcanoes-d3,1547_autoUniv-au1-1000,1548_autoUniv-au4-2500,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1556_acute-inflammations,1558_bank-marketing,1560_cardiotocography-v2,1565_heart-h-v3,1568_nursery-v3,1570_wilt,15_breast-w,1600_SPECTF,164_molecular-biology-promoters,164_molecular-biology_promoters,173_solar-flare,187_wine,18_mfeat-morphological,210_cloud,21_car,23_cmc,24_mushroom,25_colic,28_optdigits,292_Australian,299_libras_move,29_credit-a,307_vowel,30_page-blocks,310_mammography,311_oil_spill,31_credit-g,329_hayes-roth,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,338_grub-damage,35_dermatology,36_segment,377_synthetic_control,37_diabetes,38_sick,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40733_yeast_v7,40734_satellite_image_v2,40735_ozone_level_v2,40736_libras_move_v2,40_sonar,43_haberman,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,450_analcatdata_lawsuit,451_irish,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,464_prnn_synth,466_schizo,469_analcatdata_dmft,470_profb,475_analcatdata_germangss,481_biomed,48_tae,49_heart-c,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,566_meta,56_vote,59_ionosphere,61_iris,679_rmftsa_sleepdata,685_visualizing_livestock,694_diggle_table_a2,8_liver-disorders}
@attribute inftheo.class_entropy numeric
@attribute inftheo.normalized_class_entropy numeric
@attribute inftheo.attribute_entropy numeric
@attribute inftheo.normalized_attribute_entropy numeric
@attribute inftheo.joint_entropy numeric
@attribute inftheo.mutual_information numeric
@attribute inftheo.equivalent_attributes numeric
@attribute inftheo.noise_signal_ratio numeric
@attribute Class {Defaults,Tuning}

@data
1048_jEdit_4.2_4.3,0.687551,0.991927,0.694714,0.235941,0.687551,0.019753,34.808049,34.170662,Defaults
1049_pc4,0.371059,0.535325,0.675501,0.1857,0.371059,0.014632,25.3587,45.164711,Defaults
1050_pc3,0.330253,0.476455,0.566095,0.15346,0.330253,0.009452,34.941598,58.894161,Defaults
1054_mc2,0.629096,0.907594,0.720494,0.2809,0.629096,0.03882,16.205318,17.559686,Defaults
1061_ar4,0.48172,0.694975,0.508659,0.220908,0.48172,0.069946,6.887068,6.272207,Defaults
1063_kc2,0.50723,0.731779,0.304279,0.097043,0.50723,0.041356,12.265086,6.357616,Defaults
1064_ar6,0.420124,0.606111,0.649516,0.282081,0.420124,0.028968,14.503265,21.422194,Defaults
1065_kc3,0.311439,0.449311,0.73937,0.242853,0.311439,0.030952,10.062047,22.887771,Defaults
1066_kc1-binary,0.678209,0.978449,0.735869,0.296136,0.678209,0.055605,12.19701,12.233972,Defaults
1067_kc1,0.430565,0.621173,0.747348,0.195199,0.430565,0.04141,10.397722,17.047733,Tuning
1068_pc1,0.252167,0.3638,0.363026,0.103825,0.252167,0.013649,18.475103,25.597212,Defaults
1071_mw1,0.271189,0.391244,0.930843,0.310723,0.271189,0.027158,9.985627,33.275129,Defaults
1073_jEdit_4.0_4.2,0.692907,0.999654,0.655495,0.231361,0.692907,0.039057,17.740802,15.78291,Defaults
1075_datatrieve,0.289899,0.418237,0.957921,0.399484,0.289899,0.034667,8.362505,26.632409,Defaults
1100_PopularKids,1.015684,0.924516,1.17905,0.581071,1.426036,0.02075,48.948155,55.821113,Defaults
1121_badges2,0.59827,0.863121,0.960701,0.4973,0.681488,0.076856,7.784264,11.499966,Defaults
1167_pc1_req,0.637234,0.919334,0.658517,0.233067,0.646353,0.010621,59.999957,61.003957,Defaults
13_breast-cancer,0.608476,0.877845,1.043799,0.797878,1.628801,0.023474,25.921312,43.466269,Defaults
1442_MegaWatt1,0.339601,0.489941,1.003954,0.3621,0.339601,0.030069,11.294025,32.388261,Defaults
1443_PizzaCutter1,0.275506,0.397471,0.609075,0.186942,0.275506,0.017856,15.429559,33.110947,Defaults
1444_PizzaCutter3,0.370425,0.534411,0.615253,0.177525,0.370425,0.009414,39.350222,64.358292,Tuning
1446_CostaMadre1,0.383292,0.552974,0.633829,0.223714,0.383292,0.018062,21.221512,34.092807,Defaults
1447_CastMetal1,0.383411,0.553145,0.663316,0.229491,0.383411,0.017318,22.13949,37.302153,Defaults
1451_PieChart1,0.294423,0.424763,0.609319,0.184875,0.294423,0.017662,16.670305,33.499781,Defaults
1452_PieChart2,0.103731,0.149652,0.480302,0.14573,0.103731,0.005765,17.993813,82.315981,Defaults
1453_PieChart3,0.375639,0.541933,0.607104,0.173632,0.375639,0.009756,38.503155,61.228376,Defaults
1463_blogger,0.626869,0.904381,0.894711,0.834218,1.487517,0.034063,18.403046,25.266083,Defaults
1466_cardiotocography,2.019385,0.877008,1.207218,0.315312,2.019385,0.248655,8.121226,3.85499,Defaults
1490_planning-relax,0.59827,0.863121,1.327449,0.517534,0.59827,0.007753,77.169498,170.224712,Defaults
1494_qsar-biodeg,0.638688,0.921432,0.892581,0.257544,0.638688,0.037345,17.102447,22.901061,Defaults
1495_qualitative-bankruptcy,0.682743,0.98499,1.070792,0.974677,1.495913,0.257621,2.650181,3.156456,Defaults
1500_seismic-bumps,1.098612,1,1.502457,0.569316,1.098612,0.531322,2.067698,1.827773,Defaults
1510_wdbc,0.660316,0.952635,1.34376,0.422825,0.660316,0.191514,3.447878,6.016516,Defaults
