@relation R_data_frame

@attribute datasets {1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1054_mc2,1061_ar4,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1071_mw1,1073_jEdit_4.0_4.2,1075_datatrieve,1100_PopularKids,1121_badges2,1167_pc1_req,11_balance-scale,12_mfeat-factors,13_breast-cancer,1442_MegaWatt1,1443_PizzaCutter1,1444_PizzaCutter3,1446_CostaMadre1,1447_CastMetal1,1451_PieChart1,1452_PieChart2,1453_PieChart3,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1461_bank-marketing,1462_banknote-authentication,1463_blogger,1464_blood-transfusion-service-center,1465_breast-tissue,1466_cardiotocography,1467_climate-model-simulation-crashes,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1490_planning-relax,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1493_one-hundred-plants-texture,1494_qsar-biodeg,1495_qualitative-bankruptcy,1498_sa-heart,1499_seeds,14_mfeat-fourier,1500_seismic-bumps,1501_semeion,1504_steel-plates-fault,1506_thoracic-surgery,1508_user-knowledge,1510_wdbc,1511_wholesale-customers,1512_heart-long-beach,1514_micro-mass,1519_robot-failures-lp4,1520_robot-failures-lp5,1523_vertebra-column,1526_wall-robot-navigation-v3,1527_volcanoes-a1,1528_volcanoes-a2,1529_volcanoes-a3,1530_volcanoes-a4,1531_volcanoes-b1,1533_volcanoes-b3,1535_volcanoes-b5,1536_volcanoes-b6,1539_volcanoes-d2,1540_volcanoes-d3,1547_autoUniv-au1-1000,1548_autoUniv-au4-2500,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1556_acute-inflammations,1558_bank-marketing,1560_cardiotocography-v2,1565_heart-h-v3,1568_nursery-v3,1570_wilt,15_breast-w,1600_SPECTF,164_molecular-biology-promoters,164_molecular-biology_promoters,173_solar-flare,187_wine,18_mfeat-morphological,210_cloud,21_car,23_cmc,24_mushroom,25_colic,28_optdigits,292_Australian,299_libras_move,29_credit-a,307_vowel,30_page-blocks,310_mammography,311_oil_spill,31_credit-g,329_hayes-roth,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,338_grub-damage,35_dermatology,36_segment,377_synthetic_control,37_diabetes,38_sick,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40733_yeast_v7,40734_satellite_image_v2,40735_ozone_level_v2,40736_libras_move_v2,40_sonar,43_haberman,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,450_analcatdata_lawsuit,451_irish,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,464_prnn_synth,466_schizo,469_analcatdata_dmft,470_profb,475_analcatdata_germangss,481_biomed,48_tae,49_heart-c,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,566_meta,56_vote,59_ionosphere,61_iris,679_rmftsa_sleepdata,685_visualizing_livestock,694_diggle_table_a2,8_liver-disorders}
@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute PC17 numeric
@attribute PC18 numeric
@attribute PC19 numeric
@attribute PC20 numeric
@attribute PC21 numeric
@attribute PC22 numeric
@attribute PC23 numeric
@attribute PC24 numeric
@attribute PC25 numeric
@attribute PC26 numeric
@attribute PC27 numeric
@attribute PC28 numeric
@attribute PC29 numeric
@attribute PC30 numeric
@attribute PC31 numeric
@attribute PC32 numeric
@attribute PC33 numeric
@attribute PC34 numeric
@attribute PC35 numeric
@attribute PC36 numeric
@attribute PC37 numeric
@attribute PC38 numeric
@attribute PC39 numeric
@attribute PC40 numeric
@attribute Class {Defaults,Tuning}

@data
1048_jEdit_4.2_4.3,-0.231765,1.232556,-2.760577,-0.765847,1.999671,1.240478,-0.133727,2.436296,-1.040424,-0.73913,1.832289,0.055566,-1.001258,-0.442394,0.836246,0.172341,-0.028207,0.103585,0.949774,0.808023,-0.50702,-0.041366,0.169066,-0.112658,0.001822,0.378642,0.147488,0.561677,-0.710103,0.411128,-0.448712,0.428482,0.161443,0.268559,0.244567,-0.049976,0.15974,0.243212,-0.024096,0.00982,Tuning
1049_pc4,-3.046992,4.683033,-0.371421,-5.015585,0.820379,-2.280225,0.490244,0.801624,1.022885,-0.795155,0.33245,1.911205,0.644821,-0.20382,0.798696,-0.367136,-0.39199,1.391183,-0.371638,-0.540775,0.547412,-0.12808,-0.118127,-0.012633,-0.700513,-0.53305,0.11125,0.452687,-0.735113,-0.340523,0.500259,0.226624,-0.368222,0.354176,0.021934,0.493378,0.082252,-0.430536,0.297321,0.327451,Defaults
1050_pc3,-3.872152,5.461586,-0.738043,-7.013082,3.45367,-4.115656,0.677796,2.435217,-0.009233,-0.70569,0.608684,-0.774791,0.789085,0.89956,0.25738,-0.219902,-1.080256,0.844409,0.590174,0.450236,0.7647,-0.229862,-0.815031,0.326629,-0.000023,0.807757,-2.416254,0.160684,0.574228,-0.295633,-0.102155,-0.408846,-0.697368,0.294584,-0.446393,0.429585,-0.049644,0.120721,0.4544,0.409425,Tuning
1054_mc2,-0.801682,0.058073,-2.525457,-1.957503,1.060178,1.717283,0.167429,0.857308,-0.736995,-0.439784,0.254601,2.239455,-0.306107,-0.22988,0.732523,0.674553,0.611872,1.208333,-0.15183,-0.814214,0.591591,-0.652632,0.07972,-0.302964,-1.237914,-0.354384,0.257249,0.049852,0.089403,-0.151967,0.167114,-0.229884,0.210051,0.087008,0.167211,-0.010829,0.203625,-0.261497,-0.025602,-0.076952,Defaults
1061_ar4,-3.404112,-3.35676,-1.544445,-1.576477,1.645873,2.495842,1.600336,-1.147652,-0.951024,0.629992,-0.66545,-0.903491,-0.292338,0.457372,0.708576,0.705318,0.985819,0.322987,-0.25422,0.128777,0.063232,-0.698573,0.148222,1.09271,0.802935,-0.425522,0.016629,0.459303,-1.082601,0.105949,-0.163395,-0.327024,-0.361373,0.106096,-0.167989,0.249044,-0.127568,-0.204796,-0.165322,0.422602,Tuning
1063_kc2,-2.834927,0.434758,-1.657673,-3.380781,1.606952,0.016804,1.254451,0.991223,-0.396546,-0.209382,0.432913,-0.262552,-0.323658,0.789394,0.665805,0.643298,0.138353,0.485585,0.450081,-0.167599,-0.143036,0.137442,0.348412,-0.178095,0.096972,-0.194399,1.449276,-0.58044,-0.238437,0.006296,0.375672,0.414394,0.373648,0.4906,0.323784,0.167566,-0.095065,-0.029823,0.208171,0.084948,Tuning
1064_ar6,-3.955346,-3.479998,-1.210057,-1.193159,1.071159,2.927736,1.768475,-2.273295,-0.535685,1.106858,-1.127626,-0.344004,-0.000241,0.167237,0.344854,0.858057,0.901275,0.285886,-0.555556,0.493904,-0.54498,-1.861085,0.395657,2.035387,0.723167,-0.039678,-0.227662,0.820841,-0.845316,-0.128383,0.199972,-0.136075,-0.328089,-0.059477,0.221988,0.150687,-0.298968,-0.037525,0.067447,0.470915,Defaults
1065_kc3,-3.796952,0.091555,-0.49638,-2.6926,1.029172,0.677993,1.3107,-1.246495,0.053731,0.237633,-0.733634,-0.684639,-0.087672,0.166504,0.206657,0.986219,0.247206,0.092277,-0.464981,-1.028178,-0.677992,0.561042,0.352343,-0.612642,-0.129749,-0.380148,0.855298,-0.051247,0.433952,0.007777,0.567582,-0.004097,0.025839,-0.353698,-0.137437,-0.364584,0.341101,0.169335,-0.016907,-0.062005,Defaults
1066_kc1-binary,-0.670878,-2.139714,-2.69389,-1.69105,-0.082498,1.828411,-0.805256,0.892576,-1.081926,0.559074,0.396889,0.855668,-0.744175,0.016245,-0.25583,0.760707,-0.081806,1.082397,-0.108079,-0.514801,0.898405,-0.19379,0.077389,-0.230335,-0.136113,0.157641,0.44698,-0.047493,-0.547223,-0.116776,-0.57077,-0.604307,-0.351418,-0.158698,0.126222,0.020216,-0.171568,0.108219,-0.228488,-0.216552,Defaults
1067_kc1,-3.597572,1.064959,-0.131872,-2.57736,1.936345,-0.233975,0.92354,0.283132,-0.442515,-0.469205,0.010144,-0.913515,-0.464127,0.58079,0.411336,0.784614,-0.297089,0.345061,0.5099,-0.839196,-0.461142,0.472795,0.117583,0.216157,0.114365,0.553003,1.6528,-0.411445,-0.292716,-0.008116,0.309495,0.661076,0.279501,0.768176,0.413322,0.373302,-0.291871,0.129649,0.132679,-0.179876,Tuning
